dosage_forms,generic_formulation,actual_ending,count
Injection,5 ML lidocaine hydrochloride 10 MG/ML,ML,42
Oral Tablet,lovastatin 20 MG, MG,42
Oral Capsule,minocycline 100 MG, MG,42
Oral Capsule,indomethacin 25 MG, MG,42
Metered Dose Nasal Spray,fluticasone propionate 0.05 MG/ACTUAT,ACTUAT,42
Oral Tablet,lovastatin 40 MG, MG,42
Oral Tablet,olanzapine 10 MG, MG,42
Topical Cream,nystatin 100000 UNT/ML,ML,42
Oral Tablet,tadalafil 2.5 MG, MG,42
Topical Cream,lidocaine 25 MG/ML / prilocaine 25 MG/ML,ML,42
Oral Tablet,haloperidol 5 MG, MG,42
Oral Capsule,doxepin 50 MG, MG,42
Injection,2 ML ketorolac tromethamine 30 MG/ML,ML,42
